Categoria_1,Categoria_2,Categoria_3,Categoria_4,Categoria_5,Nom,Preu,Quantitat,Preu unitari,Oferta,Promocio,URL,Date
Alimentació,Productes internacionals,-,-,-,OLD EL PASO Tortillas mexicanes sense gluten,"1,95 €",0.216kg,"(9,03 € per quilo)",SI,2a unitat 50% de descompte,https://www.compraonline.bonpreuesclat.cat/products/17490/details,02/11/2020
Alimentació,Productes internacionals,-,-,-,BONPREU Tortilles de blat,"0,89 €",8 per paquet,"(0,11 € per article)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/24241/details,02/11/2020
Alimentació,Productes internacionals,-,-,-,OLD EL PASO Tortillas mexicanes,"1,99 €",8 x 0.038kg,"(6,55 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/81666/details,02/11/2020
Alimentació,Productes internacionals,-,-,-,OLD EL PASO Condiment per fajita,"1,05 €",0.03kg,"(35,00 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/12774/details,02/11/2020
Alimentació,Productes internacionals,-,-,-,OLD EL PASO Farcit pollastre-verdures per fajitas,"2,49 €",0.3kg,"(8,30 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/03282/details,02/11/2020
Alimentació,Productes internacionals,-,-,-,OLD EL PASO Nachips naturals,"2,29 €",0.185kg,"(12,38 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/81665/details,02/11/2020
Alimentació,Productes internacionals,-,-,-,ZANUY Tortillas mexicanes,"1,95 €",0.32kg,"(6,09 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/32951/details,02/11/2020
Alimentació,Productes internacionals,-,-,-,OLD EL PASO Fajita kit,"4,95 €",0.5kg,"(9,90 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/81664/details,02/11/2020
Alimentació,Productes internacionals,-,-,-,AMOY Llet de coco,"1,83 €",0.4L,"(4,58 € per litre)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/29186/details,02/11/2020
Alimentació,Productes internacionals,-,-,-,OLD EL PASO Barquetes mexicanes de blat,"2,22 €",0.193kg,"(11,50 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/81366/details,02/11/2020
Alimentació,Productes internacionals,-,-,-,BLUE DRAGON Salsa teriyaki,"1,49 €",0.12kg,"(12,42 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/59389/details,02/11/2020
Alimentació,Productes internacionals,-,-,-,OLD EL PASO Farcit de carn i verdures per a burritos,"2,49 €",0.3kg,"(8,30 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/72232/details,02/11/2020
Alimentació,Productes internacionals,-,-,-,ZANUY Wraps integrals,"1,59 €",6 per paquet,"(0,27 € per article)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/33315/details,02/11/2020
Alimentació,Productes internacionals,-,-,-,TA-TUNG Rotllet pollastre-curri,"2,99 €",0.28kg,"(10,68 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/51511/details,02/11/2020
Alimentació,Productes internacionals,-,-,-,TREVIJANO Cuscús marroquí,"2,65 €",0.3kg,"(8,83 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/06542/details,02/11/2020
Alimentació,Productes internacionals,-,-,-,MIE ASLI Tallarines indonesis,"1,69 €",0.2kg,"(8,45 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/10747/details,02/11/2020
Alimentació,Productes internacionals,-,-,-,YANG TSE Salsa agredolça,"1,35 €",0.2kg,"(6,75 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/77620/details,02/11/2020
Alimentació,Productes internacionals,-,-,-,BLUE DRAGON Sopa Miso instant,"2,85 €",5 x 0.018kg,"(31,67 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/84887/details,02/11/2020
Alimentació,Productes internacionals,-,-,-,ZANUY Jalapeño a rodanxes,"1,69 €",0.225kg,"(7,51 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/57732/details,02/11/2020
Alimentació,Productes internacionals,-,-,-,PATAK'S Salsa Curry Korma,"2,49 €",0.35kg,"(7,11 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/60633/details,02/11/2020
Alimentació,Productes internacionals,-,-,-,SUSHI KING Udon fresc,"3,89 €",0.6kg,"(6,48 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/10761/details,02/11/2020
Alimentació,Productes internacionals,-,-,-,PATAK'S Salsa Tikka Masala,"2,49 €",0.35kg,"(7,11 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/26346/details,02/11/2020
Alimentació,Productes internacionals,-,-,-,BLUE DRAGON Pasta rotllets primavera,"2,75 €",0.134kg,"(20,52 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/34283/details,02/11/2020
Alimentació,Productes internacionals,-,-,-,SUSHI KING Arròs per sushi,"2,99 €",1kg,"(2,99 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/10742/details,02/11/2020
Alimentació,Productes internacionals,-,-,-,YANG TSE Pals de bambú,"1,00 €",8 per paquet,"(0,13 € per article)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/84885/details,02/11/2020
Alimentació,Productes internacionals,-,-,-,BLUE DRAGON Tempura,"2,79 €",0.15kg,"(18,60 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/03156/details,02/11/2020
Alimentació,Productes internacionals,-,-,-,GO-TAN Salsa Sambal Oelek de xili,"1,69 €",0.1kg,"(16,90 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/61376/details,02/11/2020
Alimentació,Productes internacionals,-,-,-,YANG-TSE Suc de coco,"1,59 €",0.4L,"(3,98 € per litre)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/77534/details,02/11/2020
Alimentació,Productes internacionals,-,-,-,UDON Tallarines japonès Noodles,"1,95 €",0.3kg,"(6,50 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/77502/details,02/11/2020
Congelats,Gel i glaçons,-,-,-,FERRER Glaçons,"0,79 €",2kg,"(0,40 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/03762/details,02/11/2020
Congelats,Gel i glaçons,-,-,-,FERRER Gel per còctels i mojitos,"1,35 €",2kg,"(0,68 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/60290/details,02/11/2020
Nadal,Formatges,-,-,-,CASTELLO Formatge amb pinya,"1,59 €",0.125kg,"(12,72 € per quilo)",SI,"Abans 1,73€",https://www.compraonline.bonpreuesclat.cat/products/60435/details,02/11/2020
Nadal,Formatges,-,-,-,EMMI ROSETTES Formatge Tete de Moine,"4,69 €",0.1kg,"(46,90 € per quilo)",SI,"Abans 4,79€",https://www.compraonline.bonpreuesclat.cat/products/32283/details,02/11/2020
Nadal,Formatges,-,-,-,GARCíA BAQUERO Formatge semicurat de mescla,"5,99 €",0.465kg,"(12,88 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/03459/details,02/11/2020
Nadal,Formatges,-,-,-,FLEUR DES MONTS Formatge de cabra amb mel,"1,63 €",0.1kg,"(16,30 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/84399/details,02/11/2020
Nadal,Formatges,-,-,-,EL PASTOR Formatge de cabra amb pinya,"1,55 €",0.1kg,"(15,50 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/14561/details,02/11/2020
Nadal,Formatges,-,-,-,FORVAL Assortit de formatges,"5,95 €",0.38kg,"(15,66 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/68153/details,02/11/2020
Nadal,Formatges,-,-,-,ZANETTI Formatge Grana Padano ratllat en escates,"1,99 €",0.1kg,"(19,90 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/05978/details,02/11/2020
Nadal,Formatges,-,-,-,EL PASTOR Formatge de cabra amb papaia,"1,55 €",0.1kg,"(15,50 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/14593/details,02/11/2020
Nadal,Formatges,-,-,-,ZANETTI Formatge parmigiano reggiano escates,"2,89 €",0.1kg,"(28,90 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/79792/details,02/11/2020
Nadal,Formatges,-,-,-,OLD AMSTERDAM Formatge de vaca a daus,"3,19 €",0.15kg,"(21,27 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/20922/details,02/11/2020
Nadal,Formatges,-,-,-,"MOLÍ ALZINA Trio formatge de cabra, ovella i vaca","8,95 €",0.45kg,"(19,89 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/50315/details,02/11/2020
Nadal,Formatges,-,-,-,EL PASTOR Taula formatges selecció,"2,99 €",0.18kg,"(16,61 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/11358/details,02/11/2020
Nadal,Formatges,-,-,-,PAPILLON Formatge d'ovella Ron Du Val,"3,39 €",0.15kg,"(22,60 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/06532/details,02/11/2020
Congelats,Fleca,-,-,-, Pa rodó tallat de 850 grams,"2,95 €",0.85kg,"(3,47 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/50760/details,02/11/2020
Congelats,Fleca,-,-,-, Pa rodó tallat de 450 grams,"1,95 €",0.45kg,"(4,33 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/50709/details,02/11/2020
Congelats,Fleca,-,-,-, Barreta de pa,"1,00 €",0.24kg,"(4,17 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/50802/details,02/11/2020
Congelats,Fleca,-,-,-,MAHESO Baguetines congelades,"1,99 €",4 per paquet,"(0,50 € per article)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/88176/details,02/11/2020
