,Categoria_1,Categoria_2,Categoria_3,Categoria_4,Categoria_5,Nom,Preu,Quantitat,Preu unitari
0,Alimentació,Productes internacionals,-,-,-,OLD EL PASO Tortillas mexicanes sense gluten,"1,95 €",0.216kg,"(9,03 € per quilo)"
1,Alimentació,Productes internacionals,-,-,-,BONPREU Tortilles de blat,"0,89 €",8 per paquet,"(0,11 € per article)"
2,Alimentació,Productes internacionals,-,-,-,OLD EL PASO Tortillas mexicanes,"1,99 €",8 x 0.038kg,"(6,55 € per quilo)"
3,Alimentació,Productes internacionals,-,-,-,OLD EL PASO Condiment per fajita,"1,05 €",0.03kg,"(35,00 € per quilo)"
4,Alimentació,Productes internacionals,-,-,-,OLD EL PASO Farcit pollastre-verdures per fajitas,"2,49 €",0.3kg,"(8,30 € per quilo)"
5,Alimentació,Productes internacionals,-,-,-,OLD EL PASO Nachips naturals,"2,29 €",0.185kg,"(12,38 € per quilo)"
6,Alimentació,Productes internacionals,-,-,-,ZANUY Tortillas mexicanes,"1,95 €",0.32kg,"(6,09 € per quilo)"
7,Alimentació,Productes internacionals,-,-,-,OLD EL PASO Fajita kit,"4,95 €",0.5kg,"(9,90 € per quilo)"
8,Alimentació,Productes internacionals,-,-,-,AMOY Llet de coco,"1,83 €",0.4L,"(4,58 € per litre)"
9,Alimentació,Productes internacionals,-,-,-,OLD EL PASO Barquetes mexicanes de blat,"2,22 €",0.193kg,"(11,50 € per quilo)"
10,Alimentació,Productes internacionals,-,-,-,BLUE DRAGON Salsa teriyaki,"1,49 €",0.12kg,"(12,42 € per quilo)"
11,Alimentació,Productes internacionals,-,-,-,OLD EL PASO Farcit de carn i verdures per a burritos,"2,49 €",0.3kg,"(8,30 € per quilo)"
12,Alimentació,Productes internacionals,-,-,-,ZANUY Wraps integrals,"1,59 €",6 per paquet,"(0,27 € per article)"
13,Alimentació,Productes internacionals,-,-,-,TA-TUNG Rotllet pollastre-curri,"2,99 €",0.28kg,"(10,68 € per quilo)"
14,Alimentació,Productes internacionals,-,-,-,TREVIJANO Cuscús marroquí,"2,65 €",0.3kg,"(8,83 € per quilo)"
