,Categoria_1,Categoria_2,Categoria_3,Categoria_4,Categoria_5,Nom,Preu,Quantitat,Preu unitari,Oferta,Promocio,URL
0,Alimentació,Productes internacionals,-,-,-,OLD EL PASO Tortillas mexicanes sense gluten,"1,95 €",0.216kg,"(9,03 € per quilo)",Si,2a unitat 50% de descompte,https://www.compraonline.bonpreuesclat.cat/products/17490/details
1,Alimentació,Productes internacionals,-,-,-,BONPREU Tortilles de blat,"0,89 €",8 per paquet,"(0,11 € per article)",No,-,https://www.compraonline.bonpreuesclat.cat/products/24241/details
2,Alimentació,Productes internacionals,-,-,-,OLD EL PASO Tortillas mexicanes,"1,99 €",8 x 0.038kg,"(6,55 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/81666/details
3,Alimentació,Productes internacionals,-,-,-,OLD EL PASO Condiment per fajita,"1,05 €",0.03kg,"(35,00 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/12774/details
4,Alimentació,Productes internacionals,-,-,-,OLD EL PASO Farcit pollastre-verdures per fajitas,"2,49 €",0.3kg,"(8,30 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/03282/details
5,Alimentació,Productes internacionals,-,-,-,OLD EL PASO Nachips naturals,"2,29 €",0.185kg,"(12,38 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/81665/details
6,Alimentació,Productes internacionals,-,-,-,ZANUY Tortillas mexicanes,"1,95 €",0.32kg,"(6,09 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/32951/details
7,Alimentació,Productes internacionals,-,-,-,OLD EL PASO Fajita kit,"4,95 €",0.5kg,"(9,90 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/81664/details
8,Alimentació,Productes internacionals,-,-,-,AMOY Llet de coco,"1,83 €",0.4L,"(4,58 € per litre)",No,-,https://www.compraonline.bonpreuesclat.cat/products/29186/details
9,Alimentació,Productes internacionals,-,-,-,OLD EL PASO Barquetes mexicanes de blat,"2,22 €",0.193kg,"(11,50 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/81366/details
10,Alimentació,Productes internacionals,-,-,-,BLUE DRAGON Salsa teriyaki,"1,49 €",0.12kg,"(12,42 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/59389/details
11,Alimentació,Productes internacionals,-,-,-,OLD EL PASO Farcit de carn i verdures per a burritos,"2,49 €",0.3kg,"(8,30 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/72232/details
12,Alimentació,Productes internacionals,-,-,-,ZANUY Wraps integrals,"1,59 €",6 per paquet,"(0,27 € per article)",No,-,https://www.compraonline.bonpreuesclat.cat/products/33315/details
13,Alimentació,Productes internacionals,-,-,-,TA-TUNG Rotllet pollastre-curri,"2,99 €",0.28kg,"(10,68 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/51511/details
14,Alimentació,Productes internacionals,-,-,-,TREVIJANO Cuscús marroquí,"2,65 €",0.3kg,"(8,83 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/06542/details
15,Alimentació,Productes internacionals,-,-,-,MIE ASLI Tallarines indonesis,"1,69 €",0.2kg,"(8,45 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/10747/details
16,Alimentació,Productes internacionals,-,-,-,YANG TSE Salsa agredolça,"1,35 €",0.2kg,"(6,75 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/77620/details
17,Alimentació,Productes internacionals,-,-,-,BLUE DRAGON Sopa Miso instant,"2,85 €",5 x 0.018kg,"(31,67 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/84887/details
18,Alimentació,Productes internacionals,-,-,-,ZANUY Jalapeño a rodanxes,"1,69 €",0.225kg,"(7,51 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/57732/details
19,Alimentació,Productes internacionals,-,-,-,PATAK'S Salsa Curry Korma,"2,49 €",0.35kg,"(7,11 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/60633/details
20,Alimentació,Productes internacionals,-,-,-,SUSHI KING Udon fresc,"3,89 €",0.6kg,"(6,48 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/10761/details
21,Alimentació,Productes internacionals,-,-,-,PATAK'S Salsa Tikka Masala,"2,49 €",0.35kg,"(7,11 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/26346/details
22,Alimentació,Productes internacionals,-,-,-,BLUE DRAGON Pasta rotllets primavera,"2,75 €",0.134kg,"(20,52 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/34283/details
23,Alimentació,Productes internacionals,-,-,-,SUSHI KING Arròs per sushi,"2,99 €",1kg,"(2,99 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/10742/details
24,Alimentació,Productes internacionals,-,-,-,YANG TSE Pals de bambú,"1,00 €",8 per paquet,"(0,13 € per article)",No,-,https://www.compraonline.bonpreuesclat.cat/products/84885/details
25,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL,NULL,NULL,NULL
26,Alimentació,Productes internacionals,-,-,-,BLUE DRAGON Tempura,"2,79 €",0.15kg,"(18,60 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/03156/details
27,Alimentació,Productes internacionals,-,-,-,GO-TAN Salsa Sambal Oelek de xili,"1,69 €",0.1kg,"(16,90 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/61376/details
28,Alimentació,Productes internacionals,-,-,-,YANG-TSE Suc de coco,"1,59 €",0.4L,"(3,98 € per litre)",No,-,https://www.compraonline.bonpreuesclat.cat/products/77534/details
29,Alimentació,Productes internacionals,-,-,-,UDON Tallarines japonès Noodles,"1,95 €",0.3kg,"(6,50 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/77502/details
30,Congelats,Gel i glaçons,-,-,-,FERRER Glaçons,"0,79 €",2kg,"(0,40 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/03762/details
31,Congelats,Gel i glaçons,-,-,-,FERRER Gel per còctels i mojitos,"1,35 €",2kg,"(0,68 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/60290/details
32,Nadal,Formatges,-,-,-,CASTELLO Formatge amb pinya,"1,59 €",0.125kg,"(12,72 € per quilo)",Si,"Abans 1,73€",https://www.compraonline.bonpreuesclat.cat/products/60435/details
33,Nadal,Formatges,-,-,-,EMMI ROSETTES Formatge Tete de Moine,"4,69 €",0.1kg,"(46,90 € per quilo)",Si,"Abans 4,79€",https://www.compraonline.bonpreuesclat.cat/products/32283/details
34,Nadal,Formatges,-,-,-,GARCíA BAQUERO Formatge semicurat de mescla,"5,99 €",0.465kg,"(12,88 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/03459/details
35,Nadal,Formatges,-,-,-,FLEUR DES MONTS Formatge de cabra amb mel,"1,63 €",0.1kg,"(16,30 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/84399/details
36,Nadal,Formatges,-,-,-,EL PASTOR Formatge de cabra amb pinya,"1,55 €",0.1kg,"(15,50 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/14561/details
